[27 Oct 15:37:26] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 15:37:32] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 15:38:00] Created new character, osiolekx(268482155), player123 127.0.0.1
[27 Oct 15:38:03] Logged in, osiolekx(268482155) player123 127.0.0.1
[27 Oct 19:36:07] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 19:36:29] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 19:36:40] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 20:51:29] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 20:51:39] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 20:51:43] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 20:53:05] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 20:58:07] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 20:58:28] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 20:58:32] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 20:59:23] Logged out, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 20:59:27] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 20:59:41] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 20:59:45] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 21:01:46] Logged out, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 21:01:49] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 21:04:49] Logged out, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 21:04:54] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 21:05:41] Logged out, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 21:05:45] Logged in, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 21:06:56] Logged out, BadaBumBum(268481732) sybar 127.0.0.1
[27 Oct 21:07:01] Logged in, Konstruktor(268481351) sybar 127.0.0.1
[27 Oct 21:07:49] Disconnected, Konstruktor(268481351) sybar 127.0.0.1
